State/Union Territory,Constituency Name
Andhra Pradesh,Araku
Andhra Pradesh,Srikakulam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Anakapalli
Andhra Pradesh,Kakinada
Andhra Pradesh,Amalapuram
Andhra Pradesh,Rajahmundry
Andhra Pradesh,Narasapuram
Andhra Pradesh,Eluru
Andhra Pradesh,Machilipatnam
Andhra Pradesh,Vijayawada
Andhra Pradesh,Guntur
Andhra Pradesh,Narasaraopet
Andhra Pradesh,Bapatla
Andhra Pradesh,Ongole
Andhra Pradesh,Nandyal
Andhra Pradesh,Kurnool
Andhra Pradesh,Anantapur
Andhra Pradesh,Hindupur
Andhra Pradesh,Kadapa
Andhra Pradesh,Nellore
Andhra Pradesh,Tirupati
Andhra Pradesh,Rajampet
Andhra Pradesh,Chittoor
Arunachal Pradesh,Arunachal West
Arunachal Pradesh,Arunachal East
Assam,Karimganj
Assam,Silchar
Assam,Autonomous District
Assam,Dhubri
Assam,Kokrajhar
Assam,Barpeta
Assam,Gauhati
Assam,Mangaldoi
Assam,Tezpur
Assam,Nowgong
Assam,Kaliabor
Assam,Jorhat
Assam,Dibrugarh
Assam,Lakhimpur
Bihar,Valmiki Nagar
Bihar,Paschim Champaran
Bihar,Purvi Champaran
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Madhubani
Bihar,Jhanjharpur
Bihar,Supaul
Bihar,Araria
Bihar,Kishanganj
Bihar,Katihar
Bihar,Purnia
Bihar,Madhepura
Bihar,Darbhanga
Bihar,Muzaffarpur
Bihar,Vaishali
Bihar,Gopalganj
Bihar,Siwan
Bihar,Maharajganj
Bihar,Saran
Bihar,Hajipur
Bihar,Ujiarpur
Bihar,Samastipur
Bihar,Begusarai
Bihar,Khagaria
Bihar,Bhagalpur
Bihar,Banka
Bihar,Munger
Bihar,Nalanda
Bihar,Patna Sahib
Bihar,Pataliputra
Bihar,Arrah
Bihar,Buxar
Bihar,Sasaram
Bihar,Karakat
Bihar,Jahanabad
Bihar,Aurangabad
Bihar,Gaya
Bihar,Nawada
Bihar,Jamui
Chhattisgarh,Sarguja
Chhattisgarh,Raigarh
Chhattisgarh,Janjgir
Chhattisgarh,Korba
Chhattisgarh,Bilaspur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Durg
Chhattisgarh,Raipur
Chhattisgarh,Mahasamund
Chhattisgarh,Bastar
Chhattisgarh,Kanker
Goa,North Goa
Goa,South Goa
Gujarat,Kachchh
Gujarat,Banaskantha
Gujarat,Patan
Gujarat,Mahesana
Gujarat,Sabarkantha
Gujarat,Gandhinagar
Gujarat,Ahmedabad East
Gujarat,Ahmedabad West
Gujarat,Surendranagar
Gujarat,Rajkot
Gujarat,Porbandar
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Amreli
Gujarat,Bhavnagar
Gujarat,Anand
Gujarat,Kheda
Gujarat,Panchmahal
Gujarat,Dahod
Gujarat,Vadodara
Gujarat,Chhota Udaipur
Gujarat,Bharuch
Gujarat,Bardoli
Gujarat,Surat
Gujarat,Navsari
Gujarat,Valsad
Haryana,Ambala
Haryana,Kurukshetra
Haryana,Sirsa
Haryana,Hissar
Haryana,Karnal
Haryana,Sonipat
Haryana,Rohtak
Haryana,Bhiwani–Mahendragarh
Haryana,Gurgaon
Haryana,Faridabad
Himachal Pradesh,Kangra
Himachal Pradesh,Mandi
Himachal Pradesh,Hamirpur
Himachal Pradesh,Shimla
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Ladakh
Jammu and Kashmir,Udhampur
Jammu and Kashmir,Jammu
Jharkhand,Rajmahal
Jharkhand,Dumka
Jharkhand,Godda
Jharkhand,Chatra
Jharkhand,Kodarma
Jharkhand,Giridih
Jharkhand,Dhanbad
Jharkhand,Ranchi
Jharkhand,Jamshedpur
Jharkhand,Singhbhum
Jharkhand,Khunti
Jharkhand,Lohardaga
Jharkhand,Palamau
Jharkhand,Hazaribagh
Karnataka,Chikkodi
Karnataka,Belagavi
Karnataka,Bagalkot
Karnataka,Bijapur
Karnataka,Kalaburagi
Karnataka,Raichur
Karnataka,Bidar
Karnataka,Koppal
Karnataka,Bellary
Karnataka,Haveri
Karnataka,Dharwad
Karnataka,Uttara Kannada
Karnataka,Davanagere
Karnataka,Shimoga
Karnataka,Udupi Chikmagalur
Karnataka,Hassan
Karnataka,Dakshina Kannada
Karnataka,Chitradurga
Karnataka,Tumkur
Karnataka,Mandya
Karnataka,Mysore
Karnataka,Chamarajanagar
Karnataka,Bangalore Rural
Karnataka,Bangalore North
Karnataka,Bangalore Central
Karnataka,Bangalore South
Karnataka,Chikballapur
Karnataka,Kolar
Kerala,Kasaragod
Kerala,Kannur
Kerala,Vatakara
Kerala,Wayanad
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Ponnani
Kerala,Palakkad
Kerala,Alathur
Kerala,Thrissur
Kerala,Chalakudy
Kerala,Ernakulam
Kerala,Idukki
Kerala,Kottayam
Kerala,Alappuzha
Kerala,Mavelikara
Kerala,Pathanamthitta
Kerala,Kollam
Kerala,Attingal
Kerala,Thiruvananthapuram
Madhya Pradesh,Morena
Madhya Pradesh,Bhind
Madhya Pradesh,Gwalior
Madhya Pradesh,Guna
Madhya Pradesh,Sagar
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Damoh
Madhya Pradesh,Khajuraho
Madhya Pradesh,Satna
Madhya Pradesh,Rewa
Madhya Pradesh,Sidhi
Madhya Pradesh,Shahdol
Madhya Pradesh,Jabalpur
Madhya Pradesh,Mandla
Madhya Pradesh,Balaghat
Madhya Pradesh,Chhindwara
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Vidisha
Madhya Pradesh,Bhopal
Madhya Pradesh,Rajgarh
Madhya Pradesh,Dewas
Madhya Pradesh,Ujjain
Madhya Pradesh,Mandsaur
Madhya Pradesh,Ratlam
Madhya Pradesh,Dhar
Madhya Pradesh,Indore
Madhya Pradesh,Khargone
Madhya Pradesh,Khandwa
Madhya Pradesh,Betul
Maharashtra,Nandurbar
Maharashtra,Dhule
Maharashtra,Jalgaon
Maharashtra,Raver
Maharashtra,Buldhana
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Wardha
Maharashtra,Ramtek
Maharashtra,Nagpur
Maharashtra,Bhandara–Gondiya
Maharashtra,Gadchiroli–Chimur
Maharashtra,Chandrapur
Maharashtra,Yavatmal–Washim
Maharashtra,Hingoli
Maharashtra,Nanded
Maharashtra,Parbhani
Maharashtra,Jalna
Maharashtra,Aurangabad
Maharashtra,Dindori
Maharashtra,Nashik
Maharashtra,Palghar
Maharashtra,Bhiwandi
Maharashtra,Kalyan
Maharashtra,Thane
Maharashtra,Mumbai North
Maharashtra,Mumbai North West
Maharashtra,Mumbai North East
Maharashtra,Mumbai North Central
Maharashtra,Mumbai South Central
Maharashtra,Mumbai South
Maharashtra,Raigad
Maharashtra,Maval
Maharashtra,Pune
Maharashtra,Baramati
Maharashtra,Shirur
Maharashtra,Ahmednagar
Maharashtra,Shirdi
Maharashtra,Beed
Maharashtra,Osmanabad
Maharashtra,Latur
Maharashtra,Solapur
Maharashtra,Madha
Maharashtra,Sangli
Maharashtra,Satara
Maharashtra,Ratnagiri–Sindhudurg
Maharashtra,Kolhapur
Maharashtra,Hatkanangle
Manipur,Inner Manipur
Manipur,Outer Manipur
Meghalaya,Shillong
Meghalaya,Tura
Mizoram,Mizoram
Nagaland,Nagaland
Odisha,Bargarh
Odisha,Sundargarh
Odisha,Sambalpur
Odisha,Keonjhar
Odisha,Mayurbhanj
Odisha,Balasore
Odisha,Bhadrak
Odisha,Jajpur
Odisha,Dhenkanal
Odisha,Bolangir
Odisha,Kalahandi
Odisha,Nabarangpur
Odisha,Kandhamal
Odisha,Cuttack
Odisha,Kendrapara
Odisha,Jagatsinghpur
Odisha,Puri
Odisha,Bhubaneswar
Odisha,Aska
Odisha,Berhampur
Odisha,Koraput
Punjab,Gurdaspur
Punjab,Amritsar
Punjab,Khadoor Sahib
Punjab,Jalandhar
Punjab,Hoshiarpur
Punjab,Anandpur Sahib
Punjab,Ludhiana
Punjab,Fatehgarh Sahib
Punjab,Faridkot
Punjab,Firozpur
Punjab,Bathinda
Punjab,Sangrur
Punjab,Patiala
Rajasthan,Ganganagar
Rajasthan,Bikaner
Rajasthan,Churu
Rajasthan,Jhunjhunu
Rajasthan,Sikar
Rajasthan,Jaipur Rural
Rajasthan,Jaipur
Rajasthan,Alwar
Rajasthan,Bharatpur
Rajasthan,Karauli–Dholpur
Rajasthan,Dausa
Rajasthan,Tonk–Sawai Madhopur
Rajasthan,Ajmer
Rajasthan,Nagaur
Rajasthan,Pali
Rajasthan,Jodhpur
Rajasthan,Barmer
Rajasthan,Jalore
Rajasthan,Udaipur
Rajasthan,Banswara
Rajasthan,Chittorgarh
Rajasthan,Rajsamand
Rajasthan,Bhilwara
Rajasthan,Kota
Rajasthan,Jhalawar–Baran
Sikkim,Sikkim
Tamil Nadu,Thiruvallur
Tamil Nadu,Chennai North
Tamil Nadu,Chennai South
Tamil Nadu,Chennai Central
Tamil Nadu,Sriperumbudur
Tamil Nadu,Kancheepuram
Tamil Nadu,Arakkonam
Tamil Nadu,Vellore
Tamil Nadu,Krishnagiri
Tamil Nadu,Dharmapuri
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Arani
Tamil Nadu,Villupuram
Tamil Nadu,Kallakurichi
Tamil Nadu,Salem
Tamil Nadu,Namakkal
Tamil Nadu,Erode
Tamil Nadu,Tiruppur
Tamil Nadu,Nilgiris
Tamil Nadu,Coimbatore
Tamil Nadu,Pollachi
Tamil Nadu,Dindigul
Tamil Nadu,Karur
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Perambalur
Tamil Nadu,Cuddalore
Tamil Nadu,Chidambaram
Tamil Nadu,Mayiladuturai
Tamil Nadu,Nagapattinam
Tamil Nadu,Thanjavur
Tamil Nadu,Sivaganga
Tamil Nadu,Madurai
Tamil Nadu,Theni
Tamil Nadu,Virudhunagar
Tamil Nadu,Ramanathapuram
Tamil Nadu,Thoothukudi
Tamil Nadu,Tenkasi
Tamil Nadu,Tirunelveli
Tamil Nadu,Kanyakumari
Telangana,Adilabad
Telangana,Peddapalle
Telangana,Karimnagar
Telangana,Nizamabad
Telangana,Zahirabad
Telangana,Medak
Telangana,Malkajgiri
Telangana,Secunderabad
Telangana,Hyderabad
Telangana,Chevella
Telangana,Mahbubnagar
Telangana,Nagarkurnool
Telangana,Nalgonda
Telangana,Bhongir
Telangana,Warangal
Telangana,Mahabubabad
Telangana,Khammam
Tripura,Tripura West
Tripura,Tripura East
Uttar Pradesh,Saharanpur
Uttar Pradesh,Kairana
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Bijnor
Uttar Pradesh,Nagina
Uttar Pradesh,Moradabad
Uttar Pradesh,Rampur
Uttar Pradesh,Sambhal
Uttar Pradesh,Amroha
Uttar Pradesh,Meerut
Uttar Pradesh,Baghpat
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Aligarh
Uttar Pradesh,Hathras
Uttar Pradesh,Mathura
Uttar Pradesh,Agra
Uttar Pradesh,Fatehpur Sikri
Uttar Pradesh,Firozabad
Uttar Pradesh,Mainpuri
Uttar Pradesh,Etah
Uttar Pradesh,Badaun
Uttar Pradesh,Aonla
Uttar Pradesh,Bareilly
Uttar Pradesh,Pilibhit
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Kheri
Uttar Pradesh,Dhaurahra
Uttar Pradesh,Sitapur
Uttar Pradesh,Hardoi
Uttar Pradesh,Misrikh
Uttar Pradesh,Unnao
Uttar Pradesh,Mohanlalganj
Uttar Pradesh,Lucknow
Uttar Pradesh,Rae Bareli
Uttar Pradesh,Amethi
Uttar Pradesh,Sultanpur
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Etawah
Uttar Pradesh,Kannauj
Uttar Pradesh,Kanpur Urban
Uttar Pradesh,Akbarpur
Uttar Pradesh,Jalaun
Uttar Pradesh,Jhansi
Uttar Pradesh,Hamirpur
Uttar Pradesh,Banda
Uttar Pradesh,Fatehpur
Uttar Pradesh,Kaushambi
Uttar Pradesh,Phulpur
Uttar Pradesh,Allahabad
Uttar Pradesh,Barabanki
Uttar Pradesh,Faizabad
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Bahraich
Uttar Pradesh,Kaiserganj
Uttar Pradesh,Shrawasti
Uttar Pradesh,Gonda
Uttar Pradesh,Domariyaganj
Uttar Pradesh,Basti
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Maharajganj
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Kushi Nagar
Uttar Pradesh,Deoria
Uttar Pradesh,Bansgaon
Uttar Pradesh,Lalganj
Uttar Pradesh,Azamgarh
Uttar Pradesh,Ghosi
Uttar Pradesh,Salempur
Uttar Pradesh,Ballia
Uttar Pradesh,Jaunpur
Uttar Pradesh,Machhlishahr
Uttar Pradesh,Ghazipur
Uttar Pradesh,Chandauli
Uttar Pradesh,Varanasi
Uttar Pradesh,Bhadohi
Uttar Pradesh,Mirzapur
Uttar Pradesh,Robertsganj
Uttarakhand,Tehri Garhwal
Uttarakhand,Garhwal
Uttarakhand,Almora
Uttarakhand,Nainital–Udhamsingh Nagar
Uttarakhand,Haridwar
West Bengal,Cooch Behar
West Bengal,Alipurduars
West Bengal,Jalpaiguri
West Bengal,Darjeeling
West Bengal,Raiganj
West Bengal,Balurghat
West Bengal,Maldaha Uttar
West Bengal,Maldaha Dakshin
West Bengal,Jangipur
West Bengal,Baharampur
West Bengal,Murshidabad
West Bengal,Krishnanagar
West Bengal,Ranaghat
West Bengal,Bangaon
West Bengal,Barrackpur
West Bengal,Dum Dum
West Bengal,Barasat
West Bengal,Basirhat
West Bengal,Jaynagar
West Bengal,Mathurapur
West Bengal,Diamond Harbour
West Bengal,Jadavpur
West Bengal,Kolkata Dakshin
West Bengal,Kolkata Uttar
West Bengal,Howrah
West Bengal,Uluberia
West Bengal,Srerampur
West Bengal,Hooghly
West Bengal,Arambag
West Bengal,Tamluk
West Bengal,Kanthi
West Bengal,Ghatal
West Bengal,Jhargram
West Bengal,Medinipur
West Bengal,Purulia
West Bengal,Bankura
West Bengal,Bishnupur
West Bengal,Bardhaman Purba
West Bengal,Bardhaman–Durgapur
West Bengal,Asansol
West Bengal,Bolpur
West Bengal,Birbhum
Andaman and Nicobar Islands,Andaman and Nicobar Islands
Chandigarh,Chandigarh
Dadra and Nagar Haveli,Dadra and Nagar Haveli
Daman and Diu,Daman and Diu
Lakshadweep,Lakshadweep
NCT of Delhi,Chandni Chowk
NCT of Delhi,North East Delhi
NCT of Delhi,East Delhi
NCT of Delhi,New Delhi
NCT of Delhi,North West Delhi
NCT of Delhi,West Delhi
NCT of Delhi,South Delhi
Puducherry,Puducherry
